molecule_chembl_id,canonical_smiles,standard_value
CHEMBL183937,Cc1cc(O)c(C(=O)CCc2ccc3occc3c2)c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c1,11.0
CHEMBL371448,Cc1cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2c(CCc3ccc4occc4c3)n[nH]c2c1,491.0
CHEMBL382302,Cc1cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2c(CCc3ccc4c(c3)CCO4)n[nH]c2c1,458.0
CHEMBL382319,CCc1cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2c(CCc3ccc4c(c3)CCO4)n[nH]c2c1,532.0
CHEMBL200608,Cc1cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2c(CCc3ccc4c(c3)CCO4)nn(C)c2c1,754.0
CHEMBL200438,OC[C@H]1O[C@@H](Oc2cccc3[nH]cc(CCc4ccc5c(c4)CCO5)c23)[C@H](O)[C@@H](O)[C@@H]1O,24.0
CHEMBL434175,Cn1cc(CCc2ccc3c(c2)CCO3)c2c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cccc21,67.0
CHEMBL200394,COc1ccc(CCc2c[nH]c3cccc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c23)cc1,163.0
CHEMBL382293,COc1ccc(CCc2c[nH]c3cc(C)cc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c23)cc1,394.0
CHEMBL200250,OC[C@H]1O[C@@H](Oc2cccc3ncn(CCc4ccc5c(c4)CCO5)c23)[C@H](O)[C@@H](O)[C@@H]1O,39.0
CHEMBL200236,COc1ccc(CCn2nnc3cccc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c32)cc1,380.0
CHEMBL206513,OC[C@H]1O[C@@H](Oc2cccc3[nH]cc(Cc4ccc(-c5cccnc5)cc4)c23)[C@H](O)[C@@H](O)[C@@H]1O,143.0
CHEMBL383266,OC[C@H]1O[C@@H](Oc2cccc3[nH]cc(Cc4ccc(-c5ccsc5)cc4)c23)[C@H](O)[C@@H](O)[C@@H]1O,50.0
CHEMBL382340,CCc1ccc(Cc2c[nH]c3cccc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c23)cc1,28.0
CHEMBL203953,Cc1ccc(Cc2c[nH]c3cccc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c23)cc1,66.0
CHEMBL540968,CSc1ccc(Cc2c[nH]c3cccc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c23)cc1,52.0
CHEMBL208885,COc1ccc(Cc2c[nH]c3cccc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c23)cc1,121.0
CHEMBL381695,CCOc1ccc(CCc2c[nH]c3cccc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c23)cc1,202.0
CHEMBL381923,OC[C@H]1O[C@@H](Oc2cccc3[nH]cc(CCc4ccc5ccccc5c4)c23)[C@H](O)[C@@H](O)[C@@H]1O,201.0
CHEMBL206724,OC[C@H]1O[C@@H](Oc2cccc3[nH]cc(CCc4ccc5c(c4)OCCO5)c23)[C@H](O)[C@@H](O)[C@@H]1O,121.0
CHEMBL383463,OC[C@H]1O[C@@H](Oc2cccc3[nH]cc(Cc4ccc(-c5ccccc5)c(F)c4)c23)[C@H](O)[C@@H](O)[C@@H]1O,182.0
CHEMBL202836,OC[C@H]1O[C@@H](Oc2cccc3[nH]cc(Cc4ccc(-c5ccccc5)cc4)c23)[C@H](O)[C@@H](O)[C@@H]1O,89.0
CHEMBL206277,OC[C@H]1O[C@@H](Oc2cccc3[nH]cc(Cc4ccc(Cl)cc4)c23)[C@H](O)[C@@H](O)[C@@H]1O,296.0
CHEMBL202842,CCCc1ccc(Cc2c[nH]c3cccc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c23)cc1,119.0
CHEMBL205459,Cc1ccc(Cc2c[nH]c3cccc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c23)cc1F,99.0
CHEMBL426125,CCOc1ccc(Cc2c[nH]c3cccc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c23)cc1,94.0
CHEMBL381370,COc1ccc(Cc2c[nH]c3cccc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c23)cc1F,143.0
CHEMBL206430,OC[C@H]1O[C@@H](Oc2cccc3[nH]cc(Cc4ccc5ccccc5c4)c23)[C@H](O)[C@@H](O)[C@@H]1O,293.0
CHEMBL203672,OC[C@H]1O[C@@H](Oc2cccc3[nH]cc(Cc4ccc5c(c4)OCC5)c23)[C@H](O)[C@@H](O)[C@@H]1O,1870.0
CHEMBL377301,CCc1ccc(Cc2c[nH]c3ccc([C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc23)cc1,132.0
CHEMBL243796,C=C(C)C(CC=C(C)C)Cc1c(O)cc(OC)c2c1O[C@H](c1ccc(O)cc1O)CC2=O,1700.0
CHEMBL245067,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,100.0
CHEMBL243148,C=C(C)[C@H](CC=C(C)C)Cc1c(O)cc(O)c2c1O[C@H](c1ccc(O)cc1O)CC2=O,4100.0
CHEMBL496138,CCc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1,12.0
CHEMBL497971,OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(O)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,33.0
CHEMBL496518,O=C(NCc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1)c1ccccc1,495.0
CHEMBL521565,CN(Cc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1)C(=O)c1ccccc1,45.0
CHEMBL445247,O=C(NCc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1)c1ccc(-c2c3ccc(=O)cc-3oc3cc(O)ccc23)c(C(=O)O)c1,11000.0
CHEMBL443616,CN(Cc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1)C(=O)c1ccc(-c2c3ccc(=O)cc-3oc3cc(O)ccc23)c(C(=O)O)c1,350.0
CHEMBL457594,O=C(CCCCCNC(=O)c1ccc(-c2c3ccc(=O)cc-3oc3cc(O)ccc23)c(C(=O)O)c1)NCc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1,8000.0
CHEMBL466749,CN(Cc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1)C(=O)CCCCCNC(=O)c1ccc(-c2c3ccc(=O)cc-3oc3cc(O)ccc23)c(C(=O)O)c1,15050.0
CHEMBL500899,O=[N+]([O-])c1ccc(NCc2ccc(Cc3cc([C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)ccc3Cl)cc2)c2nonc12,2400.0
CHEMBL501165,CN(Cc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1)c1ccc([N+](=O)[O-])c2nonc12,286.0
CHEMBL449778,O=C(CCCCOc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1)c1ccc(-c2c3ccc(=O)cc-3oc3cc(O)ccc23)c(C(=O)O)c1,835.0
CHEMBL503496,CN(C)c1ccc2c(-c3ccc(C(=O)CCCCOc4ccc(Cc5cc([C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)ccc5Cl)cc4)cc3C(=O)[O-])c3ccc(=[N+](C)C)cc-3oc2c1,370.0
CHEMBL442864,Cc1cc(C)n2c1C=C1C=CC(CCC(=O)NCCOc3ccc(Cc4cc([C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)ccc4Cl)cc3)=[N+]1[B-]2(F)F,420.0
CHEMBL509911,Cc1cc(C)n2c1C=C1C=CC(CCC(=O)N(C)CCOc3ccc(Cc4cc([C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)ccc4Cl)cc3)=[N+]1[B-]2(F)F,315.0
CHEMBL508623,Cc1cc(C)n2c1C=C1C=CC(CCC(=O)NCCCOc3ccc(Cc4cc([C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)ccc4Cl)cc3)=[N+]1[B-]2(F)F,203.0
CHEMBL473046,Cc1cc(C)n2c1C=C1C=CC(CCC(=O)N(C)CCCOc3ccc(Cc4cc([C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)ccc4Cl)cc3)=[N+]1[B-]2(F)F,430.0
CHEMBL506354,Cc1cc(C)n2c1C=C1C=CC(CCC(=O)NCCCCOc3ccc(Cc4cc([C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)ccc4Cl)cc3)=[N+]1[B-]2(F)F,267.0
CHEMBL444227,Cc1cc(C)n2c1C=C1C=CC(CCC(=O)N(C)CCCCOc3ccc(Cc4cc([C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)ccc4Cl)cc3)=[N+]1[B-]2(F)F,155.0
CHEMBL171648,CCCN(CCCCOc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1)C(=O)CCC1=[N+]2C(=Cc3c(C)cc(C)n3[B-]2(F)F)C=C1,850.0
CHEMBL509278,Cc1cc(C)n2c1C=C1C=CC(CCC(=O)N(CCCCOc3ccc(Cc4cc([C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)ccc4Cl)cc3)C(C)C)=[N+]1[B-]2(F)F,1570.0
