,molecule_chembl_id,canonical_smiles,class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
0,CHEMBL183937,Cc1cc(O)c(C(=O)CCc2ccc3occc3c2)c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c1,active,458.46300000000014,1.4410199999999995,5.0,9.0,7.958607314841775
1,CHEMBL371448,Cc1cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2c(CCc3ccc4occc4c3)n[nH]c2c1,active,454.4790000000002,1.5814199999999996,5.0,8.0,6.308918507877031
2,CHEMBL382302,Cc1cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2c(CCc3ccc4c(c3)CCO4)n[nH]c2c1,active,456.4950000000003,0.7701199999999992,5.0,8.0,6.33913452199613
3,CHEMBL382319,CCc1cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2c(CCc3ccc4c(c3)CCO4)n[nH]c2c1,active,470.52200000000033,1.0240999999999991,5.0,8.0,6.274088367704952
4,CHEMBL200608,Cc1cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2c(CCc3ccc4c(c3)CCO4)nn(C)c2c1,active,470.52200000000033,0.780519999999999,4.0,9.0,6.122628654130226
5,CHEMBL200438,OC[C@H]1O[C@@H](Oc2cccc3[nH]cc(CCc4ccc5c(c4)CCO5)c23)[C@H](O)[C@@H](O)[C@@H]1O,active,441.4800000000002,1.0666999999999995,5.0,7.0,7.619788758288394
6,CHEMBL434175,Cn1cc(CCc2ccc3c(c2)CCO3)c2c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cccc21,active,455.50700000000006,1.077099999999999,4.0,8.0,7.173925197299173
7,CHEMBL200394,COc1ccc(CCc2c[nH]c3cccc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c23)cc1,active,429.46900000000016,1.1403999999999994,5.0,7.0,6.787812395596042
8,CHEMBL382293,COc1ccc(CCc2c[nH]c3cc(C)cc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c23)cc1,active,443.49600000000015,1.4488199999999993,5.0,7.0,6.404503778174426
9,CHEMBL200250,OC[C@H]1O[C@@H](Oc2cccc3ncn(CCc4ccc5c(c4)CCO5)c23)[C@H](O)[C@@H](O)[C@@H]1O,active,442.4680000000002,0.3925999999999999,4.0,9.0,7.4089353929735005
10,CHEMBL200236,COc1ccc(CCn2nnc3cccc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c32)cc1,active,431.44500000000016,-0.1387000000000005,4.0,10.0,6.42021640338319
11,CHEMBL206513,OC[C@H]1O[C@@H](Oc2cccc3[nH]cc(Cc4ccc(-c5cccnc5)cc4)c23)[C@H](O)[C@@H](O)[C@@H]1O,active,462.5020000000001,1.9993999999999992,5.0,7.0,6.844663962534939
12,CHEMBL383266,OC[C@H]1O[C@@H](Oc2cccc3[nH]cc(Cc4ccc(-c5ccsc5)cc4)c23)[C@H](O)[C@@H](O)[C@@H]1O,active,467.5430000000001,2.665900000000001,5.0,7.0,7.301029995663981
13,CHEMBL382340,CCc1ccc(Cc2c[nH]c3cccc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c23)cc1,active,413.4700000000001,1.4997999999999994,5.0,6.0,7.552841968657781
14,CHEMBL203953,Cc1ccc(Cc2c[nH]c3cccc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c23)cc1,active,399.44300000000004,1.2458199999999995,5.0,6.0,7.180456064458132
15,CHEMBL540968,CSc1ccc(Cc2c[nH]c3cccc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c23)cc1,active,431.51000000000016,1.6592999999999989,5.0,7.0,7.2839966563652006
16,CHEMBL208885,COc1ccc(Cc2c[nH]c3cccc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c23)cc1,active,415.4420000000001,0.9459999999999995,5.0,7.0,6.91721462968355
17,CHEMBL381695,CCOc1ccc(CCc2c[nH]c3cccc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c23)cc1,active,443.49600000000015,1.5304999999999993,5.0,7.0,6.694648630553377
18,CHEMBL381923,OC[C@H]1O[C@@H](Oc2cccc3[nH]cc(CCc4ccc5ccccc5c4)c23)[C@H](O)[C@@H](O)[C@@H]1O,active,449.5030000000001,2.2849999999999997,5.0,6.0,6.696803942579511
19,CHEMBL206724,OC[C@H]1O[C@@H](Oc2cccc3[nH]cc(CCc4ccc5c(c4)OCCO5)c23)[C@H](O)[C@@H](O)[C@@H]1O,active,457.4790000000002,0.9029999999999994,5.0,8.0,6.91721462968355
20,CHEMBL383463,OC[C@H]1O[C@@H](Oc2cccc3[nH]cc(Cc4ccc(-c5ccccc5)c(F)c4)c23)[C@H](O)[C@@H](O)[C@@H]1O,active,479.50400000000013,2.7435000000000014,5.0,6.0,6.739928612014925
21,CHEMBL202836,OC[C@H]1O[C@@H](Oc2cccc3[nH]cc(Cc4ccc(-c5ccccc5)cc4)c23)[C@H](O)[C@@H](O)[C@@H]1O,active,461.5140000000001,2.6044000000000005,5.0,6.0,7.050609993355087
22,CHEMBL206277,OC[C@H]1O[C@@H](Oc2cccc3[nH]cc(Cc4ccc(Cl)cc4)c23)[C@H](O)[C@@H](O)[C@@H]1O,active,419.8610000000001,1.5907999999999995,5.0,6.0,6.528708288941061
23,CHEMBL202842,CCCc1ccc(Cc2c[nH]c3cccc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c23)cc1,active,427.4970000000001,1.8898999999999992,5.0,6.0,6.924453038607469
24,CHEMBL205459,Cc1ccc(Cc2c[nH]c3cccc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c23)cc1F,active,417.43300000000005,1.3849199999999995,5.0,6.0,7.00436480540245
25,CHEMBL426125,CCOc1ccc(Cc2c[nH]c3cccc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c23)cc1,active,429.46900000000016,1.3360999999999994,5.0,7.0,7.026872146400302
26,CHEMBL381370,COc1ccc(Cc2c[nH]c3cccc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c23)cc1F,active,433.43200000000013,1.0850999999999995,5.0,7.0,6.844663962534939
27,CHEMBL206430,OC[C@H]1O[C@@H](Oc2cccc3[nH]cc(Cc4ccc5ccccc5c4)c23)[C@H](O)[C@@H](O)[C@@H]1O,active,435.4760000000001,2.0906,5.0,6.0,6.533132379645891
28,CHEMBL203672,OC[C@H]1O[C@@H](Oc2cccc3[nH]cc(Cc4ccc5c(c4)OCC5)c23)[C@H](O)[C@@H](O)[C@@H]1O,intermediate,427.4530000000002,0.8722999999999994,5.0,7.0,5.728158393463501
29,CHEMBL377301,CCc1ccc(Cc2c[nH]c3ccc([C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc23)cc1,active,397.47100000000006,1.8359999999999996,5.0,5.0,6.87942606879415
30,CHEMBL243796,C=C(C)C(CC=C(C)C)Cc1c(O)cc(OC)c2c1O[C@H](c1ccc(O)cc1O)CC2=O,intermediate,438.5200000000002,5.609600000000007,3.0,6.0,5.769551078621726
31,CHEMBL245067,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,active,436.4130000000001,-0.2024000000000002,7.0,10.0,7.0
32,CHEMBL243148,C=C(C)[C@H](CC=C(C)C)Cc1c(O)cc(O)c2c1O[C@H](c1ccc(O)cc1O)CC2=O,intermediate,424.49300000000017,5.3066000000000075,4.0,6.0,5.3872161432802645
33,CHEMBL496138,CCc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1,active,392.879,2.0080999999999998,4.0,5.0,7.920818753952375
34,CHEMBL497971,OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(O)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,active,380.824,1.1512999999999993,5.0,6.0,7.481486060122112
35,CHEMBL496518,O=C(NCc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1)c1ccccc1,active,497.9750000000001,2.3757,5.0,6.0,6.305394801066432
36,CHEMBL521565,CN(Cc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1)C(=O)c1ccccc1,active,512.0020000000002,2.7179,4.0,6.0,7.346787486224656
37,CHEMBL445247,O=C(NCc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1)c1ccc(-c2c3ccc(=O)cc-3oc3cc(O)ccc23)c(C(=O)O)c1,inactive,752.1720000000001,4.657700000000004,7.0,10.0,4.958607314841775
38,CHEMBL443616,CN(Cc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1)C(=O)c1ccc(-c2c3ccc(=O)cc-3oc3cc(O)ccc23)c(C(=O)O)c1,active,766.1990000000003,4.999900000000005,6.0,10.0,6.455931955649724
39,CHEMBL457594,O=C(CCCCCNC(=O)c1ccc(-c2c3ccc(=O)cc-3oc3cc(O)ccc23)c(C(=O)O)c1)NCc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1,intermediate,865.3320000000003,5.334300000000007,8.0,11.0,5.096910013008056
